id;acc;crs;name
0;0.9000;0.5209;tench___Tinca_tinca
1;0.8600;0.5159;goldfish___Carassius_auratus
2;0.8800;0.7054;great_white_shark___white_shark___man-eater___man-eating_shark___Carcharodon_carcharias
3;0.9200;0.6541;tiger_shark___Galeocerdo_cuvieri
4;0.8400;0.4860;hammerhead___hammerhead_shark
5;0.8200;0.6498;electric_ray___crampfish___numbfish___torpedo
6;0.8200;0.5227;stingray
7;0.8800;0.7184;cock
8;0.9000;0.6636;hen
9;0.9200;0.6906;ostrich___Struthio_camelus
10;0.8800;0.4918;brambling___Fringilla_montifringilla
11;0.9400;0.4266;goldfinch___Carduelis_carduelis
12;0.7800;0.4921;house_finch___linnet___Carpodacus_mexicanus
13;0.9200;0.4807;junco___snowbird
14;0.8600;0.3687;indigo_bunting___indigo_finch___indigo_bird___Passerina_cyanea
15;0.9000;0.5131;robin___American_robin___Turdus_migratorius
16;0.9200;0.5246;bulbul
17;0.8800;0.6052;jay
18;0.8200;0.5404;magpie
19;0.8600;0.5452;chickadee
20;0.8400;0.3664;water_ouzel___dipper
21;0.8200;0.5773;kite
22;0.9800;0.6319;bald_eagle___American_eagle___Haliaeetus_leucocephalus
23;0.8800;0.5994;vulture
24;0.9600;0.6516;great_grey_owl___great_gray_owl___Strix_nebulosa
25;0.9800;0.6082;European_fire_salamander___Salamandra_salamandra
26;0.8200;0.6723;common_newt___Triturus_vulgaris
27;0.7400;0.4364;eft
28;0.8400;0.5486;spotted_salamander___Ambystoma_maculatum
29;0.8600;0.6331;axolotl___mud_puppy___Ambystoma_mexicanum
30;0.8000;0.6386;bullfrog___Rana_catesbeiana
31;0.9200;0.5972;tree_frog___tree-frog
32;0.5000;0.5343;tailed_frog___bell_toad___ribbed_toad___tailed_toad___Ascaphus_trui
33;0.6800;0.5944;loggerhead___loggerhead_turtle___Caretta_caretta
34;0.5000;0.4918;leatherback_turtle___leatherback___leathery_turtle___Dermochelys_coriacea
35;0.7400;0.6864;mud_turtle
36;0.8200;0.7652;terrapin
37;0.9000;0.7513;box_turtle___box_tortoise
38;0.6800;0.6706;banded_gecko
39;0.8600;0.7654;common_iguana___iguana___Iguana_iguana
40;0.8200;0.5776;American_chameleon___anole___Anolis_carolinensis
41;0.8600;0.5924;whiptail___whiptail_lizard
42;0.7000;0.7110;agama
43;0.8200;0.7353;frilled_lizard___Chlamydosaurus_kingi
44;0.6000;0.5843;alligator_lizard
45;0.7000;0.5159;Gila_monster___Heloderma_suspectum
46;0.7200;0.5587;green_lizard___Lacerta_viridis
47;0.7200;0.6995;African_chameleon___Chamaeleo_chamaeleon
