id;acc;crs;name
0;0.9800;0.4817;tench___Tinca_tinca
1;0.9800;0.5546;goldfish___Carassius_auratus
2;1.0000;0.6692;great_white_shark___white_shark___man-eater___man-eating_shark___Carcharodon_carcharias
3;0.9400;0.6042;tiger_shark___Galeocerdo_cuvieri
4;0.9400;0.5041;hammerhead___hammerhead_shark
5;0.9200;0.7150;electric_ray___crampfish___numbfish___torpedo
6;0.9600;0.5696;stingray
7;0.9200;0.6824;cock
8;0.9400;0.6356;hen
9;1.0000;0.6274;ostrich___Struthio_camelus
10;0.9800;0.3797;brambling___Fringilla_montifringilla
11;1.0000;0.3354;goldfinch___Carduelis_carduelis
12;1.0000;0.3661;house_finch___linnet___Carpodacus_mexicanus
13;1.0000;0.3681;junco___snowbird
14;0.9600;0.2076;indigo_bunting___indigo_finch___indigo_bird___Passerina_cyanea
15;0.9800;0.3750;robin___American_robin___Turdus_migratorius
16;0.9800;0.3381;bulbul
17;0.9600;0.5429;jay
18;0.9400;0.4587;magpie
19;1.0000;0.4357;chickadee
20;0.9400;0.1916;water_ouzel___dipper
21;0.9800;0.5110;kite
22;0.9800;0.5581;bald_eagle___American_eagle___Haliaeetus_leucocephalus
23;1.0000;0.5702;vulture
24;0.9800;0.7098;great_grey_owl___great_gray_owl___Strix_nebulosa
25;0.9800;0.6695;European_fire_salamander___Salamandra_salamandra
26;1.0000;0.6655;common_newt___Triturus_vulgaris
27;0.8000;0.4290;eft
28;0.9800;0.6512;spotted_salamander___Ambystoma_maculatum
29;1.0000;0.6696;axolotl___mud_puppy___Ambystoma_mexicanum
30;0.8800;0.6608;bullfrog___Rana_catesbeiana
31;0.9400;0.6501;tree_frog___tree-frog
32;0.8600;0.5375;tailed_frog___bell_toad___ribbed_toad___tailed_toad___Ascaphus_trui
33;0.9600;0.6017;loggerhead___loggerhead_turtle___Caretta_caretta
34;0.9000;0.4947;leatherback_turtle___leatherback___leathery_turtle___Dermochelys_coriacea
35;0.9200;0.6786;mud_turtle
36;1.0000;0.7775;terrapin
37;1.0000;0.7740;box_turtle___box_tortoise
38;0.9400;0.7168;banded_gecko
39;0.9600;0.7999;common_iguana___iguana___Iguana_iguana
40;0.9600;0.6256;American_chameleon___anole___Anolis_carolinensis
41;0.9800;0.6350;whiptail___whiptail_lizard
42;0.9400;0.6733;agama
43;0.9400;0.7683;frilled_lizard___Chlamydosaurus_kingi
44;0.8400;0.6324;alligator_lizard
45;0.9000;0.5757;Gila_monster___Heloderma_suspectum
46;0.9200;0.6081;green_lizard___Lacerta_viridis
47;0.9000;0.7128;African_chameleon___Chamaeleo_chamaeleon
48;1.0000;0.7265;Komodo_dragon___Komodo_lizard___dragon_lizard___giant_lizard___Varanus_komodoensis
49;0.8400;0.5749;African_crocodile___Nile_crocodile___Crocodylus_niloticus
50;0.8400;0.6925;American_alligator___Alligator_mississipiensis
51;0.9600;0.8330;triceratops
52;0.9400;0.6397;thunder_snake___worm_snake___Carphophis_amoenus
53;0.9200;0.6541;ringneck_snake___ring-necked_snake___ring_snake
54;0.9000;0.7691;hognose_snake___puff_adder___sand_viper
55;0.9400;0.6906;green_snake___grass_snake
56;0.9000;0.7689;king_snake___kingsnake
57;0.9600;0.7881;garter_snake___grass_snake
58;0.9200;0.4428;water_snake
59;0.8400;0.5989;vine_snake
60;0.9000;0.6794;night_snake___Hypsiglena_torquata
61;0.9600;0.8165;boa_constrictor___Constrictor_constrictor
62;0.7800;0.6980;rock_python___rock_snake___Python_sebae
63;0.9800;0.7787;Indian_cobra___Naja_naja
64;0.9200;0.6501;green_mamba
65;0.9400;0.4791;sea_snake
66;0.9000;0.7368;horned_viper___cerastes___sand_viper___horned_asp___Cerastes_cornutus
67;0.8800;0.6742;diamondback___diamondback_rattlesnake___Crotalus_adamanteus
68;0.9200;0.6687;sidewinder___horned_rattlesnake___Crotalus_cerastes
69;1.0000;0.5392;trilobite
70;0.9600;0.8287;harvestman___daddy_longlegs___Phalangium_opilio
71;0.9600;0.6470;scorpion
72;0.9600;0.6691;black_and_gold_garden_spider___Argiope_aurantia
73;0.9800;0.5624;barn_spider___Araneus_cavaticus
74;0.9600;0.5594;garden_spider___Aranea_diademata
75;0.9800;0.6519;black_widow___Latrodectus_mactans
76;0.9800;0.8062;tarantula
77;0.9000;0.8063;wolf_spider___hunting_spider
78;0.8800;0.6895;tick
79;0.9400;0.6728;centipede
80;1.0000;0.3518;black_grouse
81;0.9800;0.3986;ptarmigan
82;1.0000;0.5909;ruffed_grouse___partridge___Bonasa_umbellus
83;0.9800;0.4283;prairie_chicken___prairie_grouse___prairie_fowl
84;0.9600;0.7428;peacock
85;0.9600;0.5375;quail
86;0.9800;0.5410;partridge
87;0.9600;0.7541;African_grey___African_gray___Psittacus_erithacus
88;1.0000;0.7956;macaw
89;0.9200;0.6079;sulphur-crested_cockatoo___Kakatoe_galerita___Cacatua_galerita
90;0.9800;0.7017;lorikeet
91;0.9200;0.4000;coucal
92;1.0000;0.4150;bee_eater
93;0.9600;0.5834;hornbill
94;0.9600;0.3703;hummingbird
95;0.9600;0.4830;jacamar
96;0.9600;0.5124;toucan
97;0.9600;0.4940;drake
98;1.0000;0.3043;red-breasted_merganser___Mergus_serrator
99;1.0000;0.5780;goose
100;0.9600;0.6175;black_swan___Cygnus_atratus
101;0.9400;0.6991;tusker
102;1.0000;0.7221;echidna___spiny_anteater___anteater
103;0.8600;0.4290;platypus___duckbill___duckbilled_platypus___duck-billed_platypus___Ornithorhynchus_anatinus
104;0.9600;0.5411;wallaby___brush_kangaroo
105;0.9400;0.7053;koala___koala_bear___kangaroo_bear___native_bear___Phascolarctos_cinereus
106;0.9000;0.5535;wombat
107;0.9200;0.5161;jellyfish
108;0.9200;0.7663;sea_anemone___anemone
109;1.0000;0.7184;brain_coral
110;0.9600;0.5098;flatworm___platyhelminth
111;0.9400;0.7410;nematode___nematode_worm___roundworm
112;0.9200;0.7785;conch
113;0.9000;0.5566;snail
114;0.8400;0.5410;slug
115;1.0000;0.5391;sea_slug___nudibranch
116;0.9600;0.6180;chiton___coat-of-mail_shell___sea_cradle___polyplacophore
117;0.9200;0.7729;chambered_nautilus___pearly_nautilus___nautilus
118;0.9200;0.7795;Dungeness_crab___Cancer_magister
119;0.9200;0.4653;rock_crab___Cancer_irroratus
120;0.9400;0.6304;fiddler_crab
121;0.9400;0.7798;king_crab___Alaska_crab___Alaskan_king_crab___Alaska_king_crab___Paralithodes_camtschatica
122;0.9800;0.8169;American_lobster___Northern_lobster___Maine_lobster___Homarus_americanus
123;0.8800;0.7248;spiny_lobster___langouste___rock_lobster___crawfish___crayfish___sea_crawfish
124;0.9400;0.7160;crayfish___crawfish___crawdad___crawdaddy
125;0.9600;0.6036;hermit_crab
126;0.8600;0.5976;isopod
127;0.9400;0.3769;white_stork___Ciconia_ciconia
128;1.0000;0.4366;black_stork___Ciconia_nigra
129;1.0000;0.6102;spoonbill
130;0.9800;0.7342;flamingo
131;0.9800;0.5385;little_blue_heron___Egretta_caerulea
132;0.9800;0.4789;American_egret___great_white_heron___Egretta_albus
133;0.9200;0.4837;bittern
134;0.0000;0.6617;crane
135;1.0000;0.5711;limpkin___Aramus_pictus
136;0.9800;0.4783;European_gallinule___Porphyrio_porphyrio
137;0.9800;0.2945;American_coot___marsh_hen___mud_hen___water_hen___Fulica_americana
138;0.9800;0.5306;bustard
139;0.9800;0.4552;ruddy_turnstone___Arenaria_interpres
140;0.9800;0.4142;red-backed_sandpiper___dunlin___Erolia_alpina
141;0.9600;0.3528;redshank___Tringa_totanus
142;0.9800;0.4421;dowitcher
143;0.9400;0.3231;oystercatcher___oyster_catcher
144;1.0000;0.6324;pelican
145;0.9600;0.6346;king_penguin___Aptenodytes_patagonica
146;1.0000;0.4955;albatross___mollymawk
147;0.9800;0.4801;grey_whale___gray_whale___devilfish___Eschrichtius_gibbosus___Eschrichtius_robustus
148;1.0000;0.3791;killer_whale___killer___orca___grampus___sea_wolf___Orcinus_orca
149;0.9600;0.6675;dugong___Dugong_dugon
150;0.9000;0.5394;sea_lion
151;0.9400;0.7486;Chihuahua
152;1.0000;0.7478;Japanese_spaniel
153;0.9400;0.7773;Maltese_dog___Maltese_terrier___Maltese
154;0.9600;0.7321;Pekinese___Pekingese___Peke
155;0.9200;0.7396;Shih-Tzu
156;0.9800;0.7809;Blenheim_spaniel
157;0.9600;0.7815;papillon
158;0.9400;0.6871;toy_terrier
159;0.9800;0.6736;Rhodesian_ridgeback
160;0.9800;0.6870;Afghan_hound___Afghan
161;0.9800;0.7345;basset___basset_hound
162;0.9800;0.6846;beagle
163;0.8200;0.7265;bloodhound___sleuthhound
164;0.9600;0.7721;bluetick
165;0.8600;0.7773;black-and-tan_coonhound
166;0.9800;0.7222;Walker_hound___Walker_foxhound
167;0.8400;0.7596;English_foxhound
168;0.9200;0.7373;redbone
169;1.0000;0.7692;borzoi___Russian_wolfhound
170;0.8800;0.7700;Irish_wolfhound
171;0.9600;0.7765;Italian_greyhound
172;0.9800;0.7296;whippet
173;0.9200;0.6738;Ibizan_hound___Ibizan_Podenco
174;0.9800;0.7163;Norwegian_elkhound___elkhound
175;0.9200;0.8011;otterhound___otter_hound
176;0.9200;0.6939;Saluki___gazelle_hound
177;1.0000;0.7504;Scottish_deerhound___deerhound
