id;acc;crs;name
0;0.9600;0.5702;tench___Tinca_tinca
1;0.9800;0.5947;goldfish___Carassius_auratus
2;0.9800;0.8052;great_white_shark___white_shark___man-eater___man-eating_shark___Carcharodon_carcharias
3;0.9600;0.7529;tiger_shark___Galeocerdo_cuvieri
4;0.9600;0.6236;hammerhead___hammerhead_shark
5;0.9000;0.7947;electric_ray___crampfish___numbfish___torpedo
6;0.9400;0.6725;stingray
7;0.9600;0.7552;cock
8;0.9400;0.7223;hen
9;1.0000;0.7288;ostrich___Struthio_camelus
10;1.0000;0.5282;brambling___Fringilla_montifringilla
11;1.0000;0.4758;goldfinch___Carduelis_carduelis
12;0.9600;0.5631;house_finch___linnet___Carpodacus_mexicanus
13;1.0000;0.5211;junco___snowbird
14;1.0000;0.4189;indigo_bunting___indigo_finch___indigo_bird___Passerina_cyanea
15;1.0000;0.5456;robin___American_robin___Turdus_migratorius
16;0.9400;0.6073;bulbul
17;0.9800;0.6589;jay
18;0.9800;0.6121;magpie
19;1.0000;0.5849;chickadee
20;0.9400;0.4002;water_ouzel___dipper
21;0.9800;0.6526;kite
22;1.0000;0.6959;bald_eagle___American_eagle___Haliaeetus_leucocephalus
23;1.0000;0.6542;vulture
24;0.9800;0.7171;great_grey_owl___great_gray_owl___Strix_nebulosa
25;1.0000;0.6748;European_fire_salamander___Salamandra_salamandra
26;0.9600;0.7679;common_newt___Triturus_vulgaris
27;0.9400;0.5067;eft
28;0.9800;0.6518;spotted_salamander___Ambystoma_maculatum
29;0.9800;0.7403;axolotl___mud_puppy___Ambystoma_mexicanum
30;0.9000;0.7148;bullfrog___Rana_catesbeiana
31;1.0000;0.6793;tree_frog___tree-frog
32;0.8600;0.6364;tailed_frog___bell_toad___ribbed_toad___tailed_toad___Ascaphus_trui
33;0.9200;0.7008;loggerhead___loggerhead_turtle___Caretta_caretta
34;0.8800;0.6033;leatherback_turtle___leatherback___leathery_turtle___Dermochelys_coriacea
35;0.9400;0.7455;mud_turtle
36;1.0000;0.8192;terrapin
37;1.0000;0.7827;box_turtle___box_tortoise
38;0.9200;0.7609;banded_gecko
39;1.0000;0.8478;common_iguana___iguana___Iguana_iguana
40;1.0000;0.6901;American_chameleon___anole___Anolis_carolinensis
41;0.9600;0.7391;whiptail___whiptail_lizard
42;0.9600;0.7830;agama
43;0.9800;0.8438;frilled_lizard___Chlamydosaurus_kingi
44;0.8200;0.7228;alligator_lizard
45;0.9600;0.6275;Gila_monster___Heloderma_suspectum
46;0.9600;0.6788;green_lizard___Lacerta_viridis
47;0.8800;0.8221;African_chameleon___Chamaeleo_chamaeleon
48;1.0000;0.7894;Komodo_dragon___Komodo_lizard___dragon_lizard___giant_lizard___Varanus_komodoensis
49;0.9000;0.6213;African_crocodile___Nile_crocodile___Crocodylus_niloticus
50;0.9600;0.7570;American_alligator___Alligator_mississipiensis
51;0.9800;0.8788;triceratops
52;0.9600;0.6867;thunder_snake___worm_snake___Carphophis_amoenus
53;0.9600;0.6873;ringneck_snake___ring-necked_snake___ring_snake
54;0.8600;0.8281;hognose_snake___puff_adder___sand_viper
55;0.9600;0.7084;green_snake___grass_snake
56;0.9600;0.7705;king_snake___kingsnake
57;0.9800;0.7854;garter_snake___grass_snake
58;0.9200;0.5763;water_snake
59;0.8800;0.6455;vine_snake
60;0.9400;0.7774;night_snake___Hypsiglena_torquata
61;0.9400;0.8387;boa_constrictor___Constrictor_constrictor
62;0.8600;0.7393;rock_python___rock_snake___Python_sebae
63;0.9800;0.8320;Indian_cobra___Naja_naja
64;0.8800;0.6802;green_mamba
65;0.8800;0.5851;sea_snake
66;0.9000;0.7892;horned_viper___cerastes___sand_viper___horned_asp___Cerastes_cornutus
67;0.9400;0.7238;diamondback___diamondback_rattlesnake___Crotalus_adamanteus
68;0.8400;0.7232;sidewinder___horned_rattlesnake___Crotalus_cerastes
69;1.0000;0.5492;trilobite
70;1.0000;0.8787;harvestman___daddy_longlegs___Phalangium_opilio
71;0.9800;0.7449;scorpion
72;1.0000;0.6920;black_and_gold_garden_spider___Argiope_aurantia
73;0.9200;0.6463;barn_spider___Araneus_cavaticus
74;0.9600;0.6571;garden_spider___Aranea_diademata
75;0.9800;0.7293;black_widow___Latrodectus_mactans
76;1.0000;0.8171;tarantula
77;0.9400;0.8698;wolf_spider___hunting_spider
78;0.8800;0.7672;tick
79;0.9600;0.7159;centipede
80;0.9600;0.5381;black_grouse
81;0.9200;0.5233;ptarmigan
82;1.0000;0.7127;ruffed_grouse___partridge___Bonasa_umbellus
83;0.9600;0.5971;prairie_chicken___prairie_grouse___prairie_fowl
84;0.9800;0.7920;peacock
85;0.9600;0.5915;quail
86;1.0000;0.6176;partridge
87;0.9800;0.7971;African_grey___African_gray___Psittacus_erithacus
88;0.9800;0.8412;macaw
89;0.9600;0.6848;sulphur-crested_cockatoo___Kakatoe_galerita___Cacatua_galerita
90;1.0000;0.7540;lorikeet
91;0.9200;0.6293;coucal
92;1.0000;0.5890;bee_eater
93;0.9800;0.7594;hornbill
94;0.9600;0.5791;hummingbird
95;0.9400;0.6645;jacamar
96;0.9600;0.7088;toucan
97;0.9800;0.6701;drake
98;1.0000;0.4830;red-breasted_merganser___Mergus_serrator
99;0.9800;0.6302;goose
100;1.0000;0.6578;black_swan___Cygnus_atratus
101;0.9400;0.7542;tusker
102;1.0000;0.6621;echidna___spiny_anteater___anteater
103;0.8800;0.5312;platypus___duckbill___duckbilled_platypus___duck-billed_platypus___Ornithorhynchus_anatinus
104;0.9200;0.6885;wallaby___brush_kangaroo
105;0.9200;0.7764;koala___koala_bear___kangaroo_bear___native_bear___Phascolarctos_cinereus
