id;acc;crs;name
0;0.9600;0.5479;tench___Tinca_tinca
1;0.9800;0.5685;goldfish___Carassius_auratus
2;0.9800;0.7817;great_white_shark___white_shark___man-eater___man-eating_shark___Carcharodon_carcharias
3;0.9600;0.7270;tiger_shark___Galeocerdo_cuvieri
4;0.9600;0.6051;hammerhead___hammerhead_shark
5;0.9000;0.7658;electric_ray___crampfish___numbfish___torpedo
6;0.9400;0.6419;stingray
7;0.9600;0.7326;cock
8;0.9400;0.6894;hen
9;1.0000;0.7080;ostrich___Struthio_camelus
10;1.0000;0.5130;brambling___Fringilla_montifringilla
11;1.0000;0.4586;goldfinch___Carduelis_carduelis
12;0.9600;0.5303;house_finch___linnet___Carpodacus_mexicanus
13;1.0000;0.5060;junco___snowbird
14;1.0000;0.4004;indigo_bunting___indigo_finch___indigo_bird___Passerina_cyanea
15;1.0000;0.5314;robin___American_robin___Turdus_migratorius
16;0.9400;0.5656;bulbul
17;0.9800;0.6378;jay
18;0.9800;0.5946;magpie
19;1.0000;0.5841;chickadee
20;0.9400;0.3926;water_ouzel___dipper
21;0.9800;0.6364;kite
22;1.0000;0.6794;bald_eagle___American_eagle___Haliaeetus_leucocephalus
23;1.0000;0.6276;vulture
24;0.9800;0.7062;great_grey_owl___great_gray_owl___Strix_nebulosa
25;1.0000;0.6536;European_fire_salamander___Salamandra_salamandra
26;0.9600;0.7339;common_newt___Triturus_vulgaris
27;0.9400;0.4928;eft
28;0.9800;0.6286;spotted_salamander___Ambystoma_maculatum
29;0.9800;0.7062;axolotl___mud_puppy___Ambystoma_mexicanum
30;0.9000;0.6930;bullfrog___Rana_catesbeiana
31;1.0000;0.6561;tree_frog___tree-frog
32;0.8600;0.6182;tailed_frog___bell_toad___ribbed_toad___tailed_toad___Ascaphus_trui
33;0.9200;0.6790;loggerhead___loggerhead_turtle___Caretta_caretta
34;0.8800;0.5777;leatherback_turtle___leatherback___leathery_turtle___Dermochelys_coriacea
35;0.9400;0.7257;mud_turtle
36;1.0000;0.8048;terrapin
37;1.0000;0.7768;box_turtle___box_tortoise
38;0.9200;0.7321;banded_gecko
39;1.0000;0.8283;common_iguana___iguana___Iguana_iguana
40;1.0000;0.6510;American_chameleon___anole___Anolis_carolinensis
41;0.9600;0.7098;whiptail___whiptail_lizard
42;0.9600;0.7596;agama
43;0.9800;0.8182;frilled_lizard___Chlamydosaurus_kingi
44;0.8200;0.7014;alligator_lizard
45;0.9600;0.5972;Gila_monster___Heloderma_suspectum
46;0.9600;0.6452;green_lizard___Lacerta_viridis
47;0.8800;0.7829;African_chameleon___Chamaeleo_chamaeleon
48;1.0000;0.7616;Komodo_dragon___Komodo_lizard___dragon_lizard___giant_lizard___Varanus_komodoensis
49;0.9000;0.6102;African_crocodile___Nile_crocodile___Crocodylus_niloticus
50;0.9600;0.7365;American_alligator___Alligator_mississipiensis
51;0.9800;0.8496;triceratops
52;0.9600;0.6756;thunder_snake___worm_snake___Carphophis_amoenus
53;0.9600;0.6755;ringneck_snake___ring-necked_snake___ring_snake
54;0.8600;0.8030;hognose_snake___puff_adder___sand_viper
55;0.9600;0.6864;green_snake___grass_snake
56;0.9600;0.7584;king_snake___kingsnake
57;0.9800;0.7858;garter_snake___grass_snake
58;0.9200;0.5490;water_snake
59;0.8800;0.6242;vine_snake
60;0.9400;0.7421;night_snake___Hypsiglena_torquata
61;0.9400;0.8201;boa_constrictor___Constrictor_constrictor
62;0.8600;0.7139;rock_python___rock_snake___Python_sebae
63;0.9800;0.8042;Indian_cobra___Naja_naja
64;0.8800;0.6513;green_mamba
65;0.8800;0.5669;sea_snake
66;0.9000;0.7803;horned_viper___cerastes___sand_viper___horned_asp___Cerastes_cornutus
67;0.9400;0.6914;diamondback___diamondback_rattlesnake___Crotalus_adamanteus
68;0.8400;0.7082;sidewinder___horned_rattlesnake___Crotalus_cerastes
69;1.0000;0.5326;trilobite
70;1.0000;0.8589;harvestman___daddy_longlegs___Phalangium_opilio
71;0.9800;0.7202;scorpion
