id;acc;crs;name
0;0.9600;0.5667;tench___Tinca_tinca
1;0.9800;0.5923;goldfish___Carassius_auratus
2;0.9800;0.7972;great_white_shark___white_shark___man-eater___man-eating_shark___Carcharodon_carcharias
3;0.9600;0.7526;tiger_shark___Galeocerdo_cuvieri
4;0.9600;0.6228;hammerhead___hammerhead_shark
5;0.9000;0.7908;electric_ray___crampfish___numbfish___torpedo
6;0.9400;0.6721;stingray
7;0.9600;0.7533;cock
8;0.9400;0.7218;hen
9;1.0000;0.7288;ostrich___Struthio_camelus
10;1.0000;0.5242;brambling___Fringilla_montifringilla
11;1.0000;0.4723;goldfinch___Carduelis_carduelis
12;0.9600;0.5604;house_finch___linnet___Carpodacus_mexicanus
13;1.0000;0.5194;junco___snowbird
14;1.0000;0.4184;indigo_bunting___indigo_finch___indigo_bird___Passerina_cyanea
15;1.0000;0.5444;robin___American_robin___Turdus_migratorius
16;0.9400;0.6060;bulbul
17;0.9800;0.6572;jay
18;0.9800;0.6056;magpie
19;1.0000;0.5782;chickadee
20;0.9400;0.3999;water_ouzel___dipper
21;0.9800;0.6487;kite
22;1.0000;0.6944;bald_eagle___American_eagle___Haliaeetus_leucocephalus
23;1.0000;0.6534;vulture
24;0.9800;0.7163;great_grey_owl___great_gray_owl___Strix_nebulosa
25;1.0000;0.6747;European_fire_salamander___Salamandra_salamandra
26;0.9600;0.7698;common_newt___Triturus_vulgaris
27;0.9400;0.5038;eft
28;0.9800;0.6458;spotted_salamander___Ambystoma_maculatum
29;0.9800;0.7366;axolotl___mud_puppy___Ambystoma_mexicanum
30;0.9000;0.7150;bullfrog___Rana_catesbeiana
31;1.0000;0.6774;tree_frog___tree-frog
32;0.8600;0.6378;tailed_frog___bell_toad___ribbed_toad___tailed_toad___Ascaphus_trui
33;0.9200;0.6985;loggerhead___loggerhead_turtle___Caretta_caretta
34;0.8800;0.5936;leatherback_turtle___leatherback___leathery_turtle___Dermochelys_coriacea
35;0.9400;0.7463;mud_turtle
36;1.0000;0.8112;terrapin
37;1.0000;0.7841;box_turtle___box_tortoise
38;0.9200;0.7618;banded_gecko
39;1.0000;0.8406;common_iguana___iguana___Iguana_iguana
40;1.0000;0.6896;American_chameleon___anole___Anolis_carolinensis
41;0.9600;0.7381;whiptail___whiptail_lizard
42;0.9600;0.7847;agama
43;0.9800;0.8451;frilled_lizard___Chlamydosaurus_kingi
44;0.8200;0.7138;alligator_lizard
45;0.9600;0.6296;Gila_monster___Heloderma_suspectum
46;0.9600;0.6808;green_lizard___Lacerta_viridis
47;0.8800;0.8223;African_chameleon___Chamaeleo_chamaeleon
48;1.0000;0.7904;Komodo_dragon___Komodo_lizard___dragon_lizard___giant_lizard___Varanus_komodoensis
49;0.9000;0.6185;African_crocodile___Nile_crocodile___Crocodylus_niloticus
50;0.9600;0.7558;American_alligator___Alligator_mississipiensis
51;0.9800;0.8710;triceratops
52;0.9600;0.6864;thunder_snake___worm_snake___Carphophis_amoenus
53;0.9600;0.6818;ringneck_snake___ring-necked_snake___ring_snake
54;0.8600;0.8279;hognose_snake___puff_adder___sand_viper
55;0.9600;0.7034;green_snake___grass_snake
56;0.9600;0.7693;king_snake___kingsnake
57;0.9800;0.7851;garter_snake___grass_snake
58;0.9200;0.5724;water_snake
59;0.8800;0.6414;vine_snake
60;0.9400;0.7783;night_snake___Hypsiglena_torquata
61;0.9400;0.8369;boa_constrictor___Constrictor_constrictor
62;0.8600;0.7333;rock_python___rock_snake___Python_sebae
63;0.9800;0.8321;Indian_cobra___Naja_naja
64;0.8800;0.6792;green_mamba
65;0.8800;0.5863;sea_snake
66;0.9000;0.7828;horned_viper___cerastes___sand_viper___horned_asp___Cerastes_cornutus
67;0.9400;0.7228;diamondback___diamondback_rattlesnake___Crotalus_adamanteus
68;0.8400;0.7216;sidewinder___horned_rattlesnake___Crotalus_cerastes
69;1.0000;0.5492;trilobite
70;1.0000;0.8791;harvestman___daddy_longlegs___Phalangium_opilio
71;0.9800;0.7425;scorpion
72;1.0000;0.6924;black_and_gold_garden_spider___Argiope_aurantia
73;0.9200;0.6425;barn_spider___Araneus_cavaticus
74;0.9600;0.6553;garden_spider___Aranea_diademata
75;0.9800;0.7232;black_widow___Latrodectus_mactans
76;1.0000;0.8167;tarantula
77;0.9400;0.8594;wolf_spider___hunting_spider
78;0.8800;0.7701;tick
79;0.9600;0.7145;centipede
80;0.9600;0.5410;black_grouse
81;0.9200;0.5278;ptarmigan
82;1.0000;0.7105;ruffed_grouse___partridge___Bonasa_umbellus
83;0.9600;0.5833;prairie_chicken___prairie_grouse___prairie_fowl
84;0.9800;0.7907;peacock
85;0.9600;0.5903;quail
86;1.0000;0.6162;partridge
87;0.9800;0.7965;African_grey___African_gray___Psittacus_erithacus
88;0.9800;0.8412;macaw
89;0.9600;0.6807;sulphur-crested_cockatoo___Kakatoe_galerita___Cacatua_galerita
90;1.0000;0.7533;lorikeet
91;0.9200;0.6309;coucal
92;1.0000;0.5862;bee_eater
93;0.9800;0.7595;hornbill
94;0.9600;0.5757;hummingbird
95;0.9400;0.6639;jacamar
96;0.9600;0.7077;toucan
97;0.9800;0.6687;drake
98;1.0000;0.4842;red-breasted_merganser___Mergus_serrator
99;0.9800;0.6291;goose
100;1.0000;0.6569;black_swan___Cygnus_atratus
101;0.9400;0.7521;tusker
102;1.0000;0.6624;echidna___spiny_anteater___anteater
